,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
0,frozenset({'BISCUITS - CORE & NON CORE'}),frozenset({'ALL IODISED SALT'}),0.37066666666666664,0.072,0.022222222222222223,0.059952038369304565,0.8326671995736746,-0.004465777777777773,0.9871836734693877
1,frozenset({'ALL IODISED SALT'}),frozenset({'BISCUITS - CORE & NON CORE'}),0.072,0.37066666666666664,0.022222222222222223,0.308641975308642,0.8326671995736745,-0.004465777777777773,0.9102857142857143
2,frozenset({'ALL IODISED SALT'}),frozenset({'PACKAGED TEA'}),0.072,0.08177777777777778,0.010666666666666666,0.14814814814814817,1.8115942028985508,0.004778666666666666,1.077913043478261
3,frozenset({'PACKAGED TEA'}),frozenset({'ALL IODISED SALT'}),0.08177777777777778,0.072,0.010666666666666666,0.13043478260869565,1.8115942028985508,0.004778666666666666,1.0672000000000001
4,frozenset({'BREAKFAST CEREALS'}),frozenset({'BISCUITS - CORE & NON CORE'}),0.04711111111111111,0.37066666666666664,0.013333333333333334,0.28301886792452835,0.7635401113071808,-0.004129185185185182,0.8777543859649123
5,frozenset({'BISCUITS - CORE & NON CORE'}),frozenset({'BREAKFAST CEREALS'}),0.37066666666666664,0.04711111111111111,0.013333333333333334,0.03597122302158274,0.7635401113071808,-0.004129185185185182,0.9884444444444445
6,frozenset({'BUTTER MARGR  (4/94)'}),frozenset({'BISCUITS - CORE & NON CORE'}),0.08,0.37066666666666664,0.018666666666666668,0.23333333333333334,0.6294964028776979,-0.010986666666666665,0.8208695652173913
7,frozenset({'BISCUITS - CORE & NON CORE'}),frozenset({'BUTTER MARGR  (4/94)'}),0.37066666666666664,0.08,0.018666666666666668,0.05035971223021583,0.6294964028776979,-0.010986666666666665,0.9687878787878789
8,frozenset({'CHEESE        (4/94)'}),frozenset({'BISCUITS - CORE & NON CORE'}),0.04088888888888889,0.37066666666666664,0.010666666666666666,0.2608695652173913,0.7037847982483578,-0.0044894814814814814,0.8514509803921568
9,frozenset({'BISCUITS - CORE & NON CORE'}),frozenset({'CHEESE        (4/94)'}),0.37066666666666664,0.04088888888888889,0.010666666666666666,0.02877697841726619,0.7037847982483578,-0.0044894814814814814,0.987529218106996
10,frozenset({'CHOCOLATE'}),frozenset({'BISCUITS - CORE & NON CORE'}),0.104,0.37066666666666664,0.035555555555555556,0.3418803418803419,0.9223390518354548,-0.0029937777777777758,0.9562597402597403
11,frozenset({'BISCUITS - CORE & NON CORE'}),frozenset({'CHOCOLATE'}),0.37066666666666664,0.104,0.035555555555555556,0.09592326139088729,0.9223390518354547,-0.0029937777777777758,0.9910663129973475
12,frozenset({'BISCUITS - CORE & NON CORE'}),frozenset({'KETCHUPS/SAUCES'}),0.37066666666666664,0.051555555555555556,0.015111111111111112,0.0407673860911271,0.7907467129744481,-0.003998814814814814,0.9887533333333333
13,frozenset({'KETCHUPS/SAUCES'}),frozenset({'BISCUITS - CORE & NON CORE'}),0.051555555555555556,0.37066666666666664,0.015111111111111112,0.2931034482758621,0.7907467129744482,-0.003998814814814814,0.8902764227642276
14,frozenset({'BISCUITS - CORE & NON CORE'}),frozenset({'PACKAGED ATTA (1/95)'}),0.37066666666666664,0.08888888888888889,0.017777777777777778,0.047961630695443645,0.539568345323741,-0.015170370370370372,0.9570109151973132
15,frozenset({'PACKAGED ATTA (1/95)'}),frozenset({'BISCUITS - CORE & NON CORE'}),0.08888888888888889,0.37066666666666664,0.017777777777777778,0.19999999999999998,0.539568345323741,-0.015170370370370372,0.7866666666666666
16,frozenset({'BISCUITS - CORE & NON CORE'}),frozenset({'PACKAGED TEA'}),0.37066666666666664,0.08177777777777778,0.017777777777777778,0.047961630695443645,0.5864873318736314,-0.012534518518518518,0.96448026868178
17,frozenset({'PACKAGED TEA'}),frozenset({'BISCUITS - CORE & NON CORE'}),0.08177777777777778,0.37066666666666664,0.017777777777777778,0.21739130434782608,0.5864873318736316,-0.012534518518518518,0.8041481481481481
18,frozenset({'BISCUITS - CORE & NON CORE'}),frozenset({'REFINED EDIBLE OILS-ALL PACKS'}),0.37066666666666664,0.06222222222222222,0.015111111111111112,0.0407673860911271,0.6551901336073999,-0.00795259259259259,0.9776333333333334
19,frozenset({'REFINED EDIBLE OILS-ALL PACKS'}),frozenset({'BISCUITS - CORE & NON CORE'}),0.06222222222222222,0.37066666666666664,0.015111111111111112,0.24285714285714288,0.6551901336073999,-0.00795259259259259,0.8311949685534591
20,frozenset({'SALTY SNACKS (2/97)'}),frozenset({'BISCUITS - CORE & NON CORE'}),0.07555555555555556,0.37066666666666664,0.024888888888888887,0.32941176470588235,0.8887008040626323,-0.0031170370370370362,0.9384795321637426
21,frozenset({'BISCUITS - CORE & NON CORE'}),frozenset({'SALTY SNACKS (2/97)'}),0.37066666666666664,0.07555555555555556,0.024888888888888887,0.0671462829736211,0.8887008040626322,-0.0031170370370370362,0.9909854327335047
22,frozenset({'SPICES (03/04)'}),frozenset({'BISCUITS - CORE & NON CORE'}),0.08177777777777778,0.37066666666666664,0.016888888888888887,0.20652173913043476,0.5571629652799499,-0.013423407407407408,0.7931324200913242
23,frozenset({'BISCUITS - CORE & NON CORE'}),frozenset({'SPICES (03/04)'}),0.37066666666666664,0.08177777777777778,0.016888888888888887,0.045563549160671464,0.5571629652799499,-0.013423407407407408,0.9620569514237857
24,frozenset({'BISCUITS - CORE & NON CORE'}),frozenset({'TOOTH PASTES'}),0.37066666666666664,0.018666666666666668,0.010666666666666666,0.02877697841726619,1.541623843782117,0.003747555555555555,1.01040987654321
25,frozenset({'TOOTH PASTES'}),frozenset({'BISCUITS - CORE & NON CORE'}),0.018666666666666668,0.37066666666666664,0.010666666666666666,0.5714285714285714,1.5416238437821173,0.003747555555555555,1.4684444444444442
26,frozenset({'BISCUITS - CORE & NON CORE'}),frozenset({'VERMICELLI & NOODLE'}),0.37066666666666664,0.06755555555555555,0.016888888888888887,0.045563549160671464,0.6744604316546763,-0.008151703703703703,0.9769581239530989
27,frozenset({'VERMICELLI & NOODLE'}),frozenset({'BISCUITS - CORE & NON CORE'}),0.06755555555555555,0.37066666666666664,0.016888888888888887,0.25,0.6744604316546763,-0.008151703703703703,0.839111111111111
28,frozenset({'REFINED EDIBLE OILS-ALL PACKS'}),frozenset({'PACKAGED ATTA (1/95)'}),0.06222222222222222,0.08888888888888889,0.012444444444444444,0.19999999999999998,2.2499999999999996,0.00691358024691358,1.1388888888888888
29,frozenset({'PACKAGED ATTA (1/95)'}),frozenset({'REFINED EDIBLE OILS-ALL PACKS'}),0.08888888888888889,0.06222222222222222,0.012444444444444444,0.13999999999999999,2.25,0.00691358024691358,1.0904392764857882
30,frozenset({'REFINED EDIBLE OILS-ALL PACKS'}),frozenset({'PACKAGED TEA'}),0.06222222222222222,0.08177777777777778,0.010666666666666666,0.17142857142857143,2.0962732919254656,0.0055782716049382714,1.1081992337164752
31,frozenset({'PACKAGED TEA'}),frozenset({'REFINED EDIBLE OILS-ALL PACKS'}),0.08177777777777778,0.06222222222222222,0.010666666666666666,0.13043478260869565,2.0962732919254656,0.0055782716049382714,1.0784444444444445
32,frozenset({'SPICES (03/04)'}),frozenset({'PACKAGED TEA'}),0.08177777777777778,0.08177777777777778,0.012444444444444444,0.15217391304347824,1.860822306238185,0.005756839506172838,1.083031339031339
33,frozenset({'PACKAGED TEA'}),frozenset({'SPICES (03/04)'}),0.08177777777777778,0.08177777777777778,0.012444444444444444,0.15217391304347824,1.860822306238185,0.005756839506172838,1.083031339031339
