,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
0,frozenset({'BREAKFAST CEREALS'}),frozenset({'BISCUITS - CORE & NON CORE'}),0.03876272513703994,0.2846515270164448,0.011354737666405637,0.2929292929292929,1.029080349575535,0.00032086876482848893,1.0117071260767423
1,frozenset({'BISCUITS - CORE & NON CORE'}),frozenset({'BREAKFAST CEREALS'}),0.2846515270164448,0.03876272513703994,0.011354737666405637,0.039889958734525444,1.0290803495755352,0.00032086876482848893,1.00117406708506
2,frozenset({'CHOCOLATE'}),frozenset({'BISCUITS - CORE & NON CORE'}),0.20516836335160532,0.2846515270164448,0.037588097102584185,0.18320610687022904,0.6436154015771182,-0.02081339082091506,0.875800466923792
3,frozenset({'BISCUITS - CORE & NON CORE'}),frozenset({'CHOCOLATE'}),0.2846515270164448,0.20516836335160532,0.037588097102584185,0.13204951856946356,0.6436154015771183,-0.02081339082091506,0.9157568935711299
4,frozenset({'BISCUITS - CORE & NON CORE'}),frozenset({'CONFECTIONERY - TOFFEE/HBC'}),0.2846515270164448,0.07752545027407988,0.014095536413469069,0.04951856946354883,0.638739527322746,-0.007972201389685228,0.9705340052832763
5,frozenset({'CONFECTIONERY - TOFFEE/HBC'}),frozenset({'BISCUITS - CORE & NON CORE'}),0.07752545027407988,0.2846515270164448,0.014095536413469069,0.18181818181818182,0.638739527322746,-0.007972201389685228,0.8743148003132342
6,frozenset({'SALTY SNACKS (2/97)'}),frozenset({'BISCUITS - CORE & NON CORE'}),0.14839467501957712,0.2846515270164448,0.03328112764291308,0.22427440633245385,0.7878911056025958,-0.008959643202518623,0.9221669090502294
7,frozenset({'BISCUITS - CORE & NON CORE'}),frozenset({'SALTY SNACKS (2/97)'}),0.2846515270164448,0.14839467501957712,0.03328112764291308,0.11691884456671252,0.7878911056025958,-0.008959643202518623,0.9643568088173947
8,frozenset({'VERMICELLI & NOODLE'}),frozenset({'BISCUITS - CORE & NON CORE'}),0.09788566953797964,0.2846515270164448,0.025450274079874706,0.26,0.9133975240715269,-0.002413031227138294,0.9666871256534529
9,frozenset({'BISCUITS - CORE & NON CORE'}),frozenset({'VERMICELLI & NOODLE'}),0.2846515270164448,0.09788566953797964,0.025450274079874706,0.08940852819807427,0.9133975240715266,-0.002413031227138294,0.9906905109454515
10,frozenset({'CHOCOLATE'}),frozenset({'CONFECTIONERY - TOFFEE/HBC'}),0.20516836335160532,0.07752545027407988,0.012529365700861394,0.06106870229007634,0.787724573984116,-0.0033764040499678384,0.9824728944235409
11,frozenset({'CONFECTIONERY - TOFFEE/HBC'}),frozenset({'CHOCOLATE'}),0.07752545027407988,0.20516836335160532,0.012529365700861394,0.1616161616161616,0.7877245739841159,-0.0033764040499678384,0.9480521931107359
12,frozenset({'SALTY SNACKS (2/97)'}),frozenset({'CHOCOLATE'}),0.14839467501957712,0.20516836335160532,0.019968676585747847,0.1345646437994723,0.6558742371447562,-0.010477216018112141,0.9184182630784805
13,frozenset({'CHOCOLATE'}),frozenset({'SALTY SNACKS (2/97)'}),0.20516836335160532,0.14839467501957712,0.019968676585747847,0.09732824427480917,0.6558742371447563,-0.010477216018112141,0.9434274636146756
14,frozenset({'CHOCOLATE'}),frozenset({'VERMICELLI & NOODLE'}),0.20516836335160532,0.09788566953797964,0.011746280344557557,0.05725190839694657,0.5848854961832062,-0.008336762270125815,0.9568986015427099
15,frozenset({'VERMICELLI & NOODLE'}),frozenset({'CHOCOLATE'}),0.09788566953797964,0.20516836335160532,0.011746280344557557,0.12000000000000001,0.5848854961832062,-0.008336762270125815,0.9032177689186304
