,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
0,frozenset({'BISCUITS - CORE & NON CORE'}),frozenset({'ALL IODISED SALT'}),0.17634854771784234,0.12448132780082988,0.022821576763485476,0.12941176470588234,1.0396078431372549,0.0008694753878204543,1.005663339688236
1,frozenset({'ALL IODISED SALT'}),frozenset({'BISCUITS - CORE & NON CORE'}),0.12448132780082988,0.17634854771784234,0.022821576763485476,0.18333333333333332,1.0396078431372549,0.0008694753878204543,1.0085527987128462
2,frozenset({'BUTTER MARGR  (4/94)'}),frozenset({'ALL IODISED SALT'}),0.10580912863070539,0.12448132780082988,0.01867219917012448,0.17647058823529413,1.4176470588235295,0.005500938344725469,1.0631298162418494
3,frozenset({'ALL IODISED SALT'}),frozenset({'BUTTER MARGR  (4/94)'}),0.12448132780082988,0.10580912863070539,0.01867219917012448,0.15,1.4176470588235295,0.005500938344725469,1.0519892604344643
4,frozenset({'CLEANERS - FLOOR'}),frozenset({'ALL IODISED SALT'}),0.08506224066390042,0.12448132780082988,0.035269709543568464,0.4146341463414634,3.330894308943089,0.024681048880012393,1.495677731673582
5,frozenset({'ALL IODISED SALT'}),frozenset({'CLEANERS - FLOOR'}),0.12448132780082988,0.08506224066390042,0.035269709543568464,0.2833333333333333,3.330894308943089,0.024681048880012393,1.276657338608511
6,frozenset({'CLEANERS - TOILET'}),frozenset({'ALL IODISED SALT'}),0.08091286307053942,0.12448132780082988,0.01867219917012448,0.23076923076923075,1.8538461538461537,0.008600058538937,1.1381742738589211
7,frozenset({'ALL IODISED SALT'}),frozenset({'CLEANERS - TOILET'}),0.12448132780082988,0.08091286307053942,0.01867219917012448,0.15,1.8538461538461537,0.008600058538937,1.0812789846228947
8,frozenset({'ALL IODISED SALT'}),frozenset({'CLEANERS - UTENSIL'}),0.12448132780082988,0.1037344398340249,0.02074688796680498,0.16666666666666666,1.6066666666666665,0.00783388715759026,1.07551867219917
9,frozenset({'CLEANERS - UTENSIL'}),frozenset({'ALL IODISED SALT'}),0.1037344398340249,0.12448132780082988,0.02074688796680498,0.19999999999999998,1.6066666666666665,0.00783388715759026,1.0943983402489625
10,frozenset({'COCONUT OIL PKTYP (08/02)'}),frozenset({'ALL IODISED SALT'}),0.03734439834024896,0.12448132780082988,0.012448132780082987,0.3333333333333333,2.6777777777777776,0.007799452488765689,1.313278008298755
11,frozenset({'ALL IODISED SALT'}),frozenset({'COCONUT OIL PKTYP (08/02)'}),0.12448132780082988,0.03734439834024896,0.012448132780082987,0.09999999999999999,2.6777777777777776,0.007799452488765689,1.0696173351775011
12,frozenset({'COFFEE'}),frozenset({'ALL IODISED SALT'}),0.03319502074688797,0.12448132780082988,0.01037344398340249,0.3125,2.5104166666666665,0.006241283724453779,1.2734817050169747
13,frozenset({'ALL IODISED SALT'}),frozenset({'COFFEE'}),0.12448132780082988,0.03319502074688797,0.01037344398340249,0.08333333333333333,2.5104166666666665,0.006241283724453779,1.054696341003395
14,frozenset({'ALL IODISED SALT'}),frozenset({'DETERGENT CAKES/BARS'}),0.12448132780082988,0.035269709543568464,0.01037344398340249,0.08333333333333333,2.3627450980392157,0.005983023708269485,1.052433044134289
15,frozenset({'DETERGENT CAKES/BARS'}),frozenset({'ALL IODISED SALT'}),0.035269709543568464,0.12448132780082988,0.01037344398340249,0.29411764705882354,2.3627450980392157,0.005983023708269485,1.2403181189488244
16,frozenset({'ALL IODISED SALT'}),frozenset({'KETCHUPS/SAUCES'}),0.12448132780082988,0.06431535269709543,0.012448132780082987,0.09999999999999999,1.5548387096774194,0.004442072278369862,1.0396496081143385
17,frozenset({'KETCHUPS/SAUCES'}),frozenset({'ALL IODISED SALT'}),0.06431535269709543,0.12448132780082988,0.012448132780082987,0.1935483870967742,1.5548387096774192,0.004442072278369862,1.085643153526971
